ci,lum,absmag,spect
-0.044,92.89663867799364,-0.070,b
-0.108,73.11390834834172,0.190,b
-0.079,466.01511170218424,-1.821,b
-0.074,130.1367630107464,-0.436,b
-0.098,97.90390174480511,-0.127,b
-0.046,52.28775553134414,0.554,b
-0.060,62.34476611050062,0.363,b
-0.110,480.3966829296808,-1.854,b
0.008,283.92262394249076,-1.283,b
-0.056,112.30523475410828,-0.276,b
-0.003,203.79803862870568,-0.923,b
-0.100,159.6614245993414,-0.658,b
-0.064,26.915348039269155,1.275,b
-0.098,148.18355175164308,-0.577,b
-0.014,30.255198038723073,1.148,b
0.130,187068214.03658015,-15.830,b
-0.049,80.98414473257886,0.079,b
-0.098,218.77616239495518,-1.000,b
-0.070,102.89635722967539,-0.181,b
-0.146,389.04514499428046,-1.625,b
-0.123,538.5177219975278,-1.978,b
-0.196,962.0552191862149,-2.608,b
-0.105,2013.7242498623896,-3.410,b
-0.004,332.96608520688034,-1.456,b
-0.024,69.75896043328048,0.241,b
-0.113,173.30057353270814,-0.747,b
-0.069,652.8298441586142,-2.187,b
-0.063,57.91619210831198,0.443,b
-0.066,330.5217168699801,-1.448,b
-0.058,56.963937334118356,0.461,b
-0.091,152.1948650903652,-0.606,b
-0.136,481.72590355916344,-1.857,b
0.032,266.44035277248975,-1.214,b
-0.046,3407.218616593573,-3.981,b
-0.054,141.64459272385145,-0.528,b
-0.154,941.0224835267508,-2.584,b
-0.010,65.40335094488948,0.311,b
-0.043,97.18517029401686,-0.119,b
-0.081,346.09872548535276,-1.498,b
-0.120,193.9099078614849,-0.869,b
-0.019,146.4198642935277,-0.564,b
0.012,831.7637711026708,-2.450,b
-0.095,244.34305526939713,-1.120,b
-0.052,80.02026771193327,0.092,b
-0.072,73.04659895204111,0.191,b
0.018,97.54387404403,-0.123,b
-0.082,69.3106545149936,0.248,b
-0.040,277.20432375777017,-1.257,b
-0.060,55.564831283712614,0.488,b
-0.103,158.34341239145746,-0.649,b
-0.067,78.2708409590612,0.116,b
-0.036,636.2092805735178,-2.159,b
0.008,155.8834467704389,-0.632,b
-0.158,1051.9618738232234,-2.705,b
-0.021,62.97961479295171,0.352,b
-0.078,108.243044760913,-0.236,b
-0.068,430.92332281862633,-1.736,b
-0.026,255.6230427112548,-1.169,b
-0.059,34.60987254853528,1.002,b
-0.027,900.3264310597219,-2.536,b
-0.022,53.45643593969714,0.530,b
0.013,510.03502395944685,-1.919,b
-0.010,436.11397139306484,-1.749,b
-0.098,1051.9618738232234,-2.705,b
-0.039,28.08018728116636,1.229,b
-0.175,841.7827076608131,-2.463,b
-0.067,100,-0.150,b
-0.150,634.453795775715,-2.156,b
-0.084,414.19037262210077,-1.693,b
-0.073,159.51443869276017,-0.657,b
-0.042,170.29425618775483,-0.728,b
-0.071,438.126982022493,-1.754,b
0.325,1461.5039720061645,-3.062,b
1.370,1828.1002161427427,-3.305,b
-0.156,151.3561248436207,-0.600,b
-0.030,248.19898435070957,-1.137,b
-0.054,62.23002851691592,0.365,b
0.298,24434305.526939712,-13.620,b
0.641,158.48931924611142,-0.650,b
-0.120,72.84504232923301,0.194,b
0.281,22284351.492702983,-13.520,b
-0.082,97.99411610955943,-0.128,b
-0.023,43.41102097073453,0.756,b
-0.094,176.3599633897995,-0.766,b
-0.089,74.61050851930628,0.168,b
-0.098,400.3132821780238,-1.656,b
0.249,27542287.033381745,-13.750,b
-0.136,425.40246294406796,-1.722,b
-0.053,58.1835211048072,0.438,b
-0.048,127.05741052085419,-0.410,b
-0.050,198.9756811090657,-0.897,b
-0.095,97.63375665826416,-0.124,b
-0.114,116.7347076492192,-0.318,b
-0.029,114.28783347897712,-0.295,b
-0.212,806.1205638638912,-2.416,b
-0.073,52.48074602497726,0.550,b
-0.061,42.46195639463128,0.780,b
-0.110,75.64844408332819,0.153,b
-0.022,83.63729915840261,0.044,b
-0.122,132.92295883156825,-0.459,b
-0.122,254.6830252585042,-1.165,b
-0.024,140.86399463612562,-0.522,b
-0.066,392.28346253952094,-1.634,b
-0.100,80.83510373900673,0.081,b
-0.099,123.82262309589933,-0.382,b
0.093,237.9030445880624,-1.091,b
-0.007,76.34841051830966,0.143,b
-0.072,64.2096052567594,0.331,b
-0.109,355.1403349828821,-1.526,b
-0.057,127.4089685919111,-0.413,b
-0.049,138.16562311673286,-0.501,b
0.019,22.28435149270303,1.480,b
-0.125,135.51894123510365,-0.480,b
-0.107,139.95873225726177,-0.515,b
-0.031,157.18098282039188,-0.641,b
-0.020,138.16562311673286,-0.501,b
-0.123,200.2626690340903,-0.904,b
-0.019,132.19042534417247,-0.453,b
-0.003,96.56060985415496,-0.112,b
0.115,461.31757456037957,-1.810,b
-0.061,66.31320218835526,0.296,b
-0.099,121.22717925364971,-0.359,b
-0.106,100.83237577615515,-0.159,b
-0.076,55.10614111390659,0.497,b
-0.018,120.55910077295344,-0.353,b
-0.035,49.70499105762348,0.609,b
-0.027,90.28175649662565,-0.039,b
-0.060,278.7404520323769,-1.263,b
-0.073,286.8137712668468,-1.294,b
-0.067,245.4708915685031,-1.125,b
-0.108,604.226822049881,-2.103,b
-0.067,165.34840121711517,-0.696,b
-0.076,178.97814394089616,-0.782,b
-0.073,81.20822162499839,0.076,b
-0.082,115.23913771994866,-0.304,b
-0.091,227.1956437735269,-1.041,b
0.014,70.66429004252072,0.227,b
-0.054,131.94714571951167,-0.451,b
0.419,6385.574850788397,-4.663,b
-0.096,322.4036871918187,-1.421,b
0.131,109.0435545543659,-0.244,b
-0.033,307.3264929204293,-1.369,b
-0.092,169.98085132034964,-0.726,b
-0.055,292.14603738773343,-1.314,b
0.075,23768402.866248734,-13.590,b
-0.101,194.44644164481286,-0.872,b
-0.072,49.88844874600119,0.605,b
-0.007,322.9981240595625,-1.423,b
-0.084,1720.2834055304336,-3.239,b
-0.106,139.1874248839297,-0.509,b
-0.117,155.59656316050734,-0.630,b
-0.058,521.4347854144579,-1.943,b
-0.064,105.39014450691596,-0.207,b
-0.099,65.6447501951699,0.307,b
-0.145,123.82262309589933,-0.382,b
-0.062,332.96608520688034,-1.456,b
-0.159,593.1984396649729,-2.083,b
-0.016,127.17448862880669,-0.411,b
-0.048,937.5620069258802,-2.580,b
-0.005,56.078966337451,0.478,b
-0.125,1362.6991969948704,-2.986,b
0.022,2995.021883751126,-3.841,b
-0.088,281.5788299710311,-1.274,b
